,id,srm,hex
914,oJEIFi,,
915,8JD2ga,,
916,vXRqQb,,
917,m2lpu3,,
918,Gw62Ze,,
919,zXmJfo,,
920,RHyjZb,,
921,uxUthW,,
922,QAr8Cd,,
923,APkGiF,,
924,nBr9f5,,
925,EsRX4F,,
926,mPupms,,
927,g7sE5h,,
928,8eCe1W,,
929,glTmgd,,
930,qS7sfh,,
931,XIOFCo,,
932,kf7ol8,,
933,3PIEt2,,
934,Ky67c2,,
935,x0rIc2,,
936,socay9,,
937,W1vjfv,,
938,KQstav,,
939,nHHujU,7.0,F39C00
940,Odcfg8,,
941,yLBNrD,,
942,WakiQN,,
943,X2Qkw1,,
944,C6AdaN,,
945,HBYSP7,,
946,qeyOtB,,
947,WjL0vJ,,
948,9K0AXZ,,
949,CY8mgu,,
950,x8xoMG,,
951,61kRSH,,
952,isBPBV,9.0,E58500
953,ZG0UlQ,,
954,79E0Ty,,
955,T9hizi,,
956,EbIDkz,,
957,o8S1pf,,
958,uWmQhI,,
959,gC5sR1,,
960,jwWiTH,,
961,uXhQpU,17.0,B04500
962,CxObkO,,
963,cBlPBo,,
964,bOweYd,,
965,f0SW7q,,
966,Iho3ja,,
967,O7s5bl,,
968,chGS2W,,
969,kisy2M,,
970,ZkIQt3,,
971,8lrwOG,,
972,iE2Cm1,,
973,HNfeeE,,
974,nWMyFJ,,
975,OMF6pp,,
976,5ac2lB,,
977,eYUN1J,,
978,59aBTS,,
979,aaN9Np,,
980,nN4dSc,,
981,SdUdrF,,
982,X1TBQb,,
983,nI3o55,,
984,Ao3nwv,,
985,8Tl3Za,,
986,Jez95w,41.0,000000
987,xtz86H,,
988,LaGJwq,,
989,yZyKm9,,
990,NvmB3G,,
991,pCJYMj,,
992,K7JMpV,,
993,v2yE99,,
994,VWCRIA,,
995,253IOJ,,
996,jlGfIW,,
997,UrP3el,13.0,CB6200
998,ij8bcT,,
999,kU8aUe,,
1000,83WNK4,,
1001,PCy0YW,,
1002,n58979,,
1003,nTy2Tl,,
1004,r0G6p0,,
1005,UqDEcI,,
1006,bCUmLP,17.0,B04500
1007,VoKbnS,,
1008,DanCUt,,
1009,Wa2g8c,,
1010,rndmxL,,
1011,8VuS7T,,
1012,0qTMV2,,
1013,0fxuzG,,
1014,5njNsw,,
1015,6E8Sbf,,
1016,7VPQrN,,
1017,0Kk47H,,
1018,UPj197,,
1019,RGbENJ,,
1020,2jZr7R,,
1021,0ejWZZ,,
1022,dd0B8k,,
1023,0a0nmv,,
1024,hObYWr,,
1025,kGYkIn,,
1026,hxPFah,,
1027,JP9Tv8,,
1028,4991HC,,
1029,mUg7wk,,
1030,2ReeSa,,
1031,FEpvI5,,
1032,Uo1GhB,,
1033,DVjnk8,,
1034,JsJS48,,
1035,Osvyj0,,
1036,LvQJkz,,
1037,NjMsDG,,
1038,BS40Y7,,
1039,i3rREM,,
1040,a7U096,,
1041,bPegqO,,
1042,8CaSZi,,
1043,rGvdNY,,
1044,B6BySD,,
1045,LQC5oY,,
1046,R0o8Zj,,
1047,q0uLE9,,
1048,N1BhcH,10.0,DE7C00
1049,2uZ5Nv,,
1050,1FUw1T,,
1051,bH4OLS,,
1052,fEHtXM,,
1053,fc8vhw,,
1054,dGKy0d,16.0,B54C00
1055,uLGqIs,,
1056,nSWgDd,,
1057,DIOD5K,,
1058,lh4CHM,,
1059,9GewxD,,
1060,uXyFjl,,
1061,O88uW2,,
1062,dgcDdN,,
1063,iVj9tp,,
1064,Hufuou,,
1065,PM25oA,,
1066,NbCVPC,,
1067,eKDmEJ,,
1068,bIUSuy,,
1069,VFg1WD,,
1070,kKNkdr,,
1071,BmCSoh,,
1072,Ifrd28,,
1073,QZtzPg,,
1074,rd8LRZ,,
1075,QL4T7W,11.0,D77200
1076,PTg6UI,,
1077,vYTGzr,,
1078,N86OK2,,
1079,O3opje,,
1080,mHGgE6,,
1081,aDPpep,,
1082,WVvZCf,,
1083,HY0hgn,,
1084,h1v3i8,,
1085,M4K0XQ,,
1086,l0J6Ft,,
1087,3kZwor,,
1088,5B5OnQ,,
1089,SVdfKg,,
1090,CQQuww,,
1091,tICUo1,10.0,DE7C00
1092,hbF6tu,,
1093,aVaZXL,,
1094,04TBYz,,
1095,raGubv,,
1096,Vo54Zn,,
1097,WtpAkT,,
1098,jJacms,,
1099,geWWbe,,
1100,Ph0PSU,,
1101,fqf3ib,,
1102,Bf2EtH,,
1103,3BFtd5,,
1104,kZAhYn,,
1105,2nQ997,,
1106,aNiJKA,,
1107,mIgknc,,
1108,2jpOL6,,
1109,RgocwD,,
1110,gQh9C8,,
1111,lq8HX0,,
1112,bgmiT2,,
1113,MGSUT9,,
1114,MpYI7s,,
1115,niiQ1T,,
1116,xBcHLT,,
1117,rNstSX,,
1118,Zpqu58,,
